Order_ID,Order_Date,Product_ID,Region,Quantity,Revenue,Cost,Channel,Profit
145,2022-04-23,27,South,7,9793,7970,Offline,1823
146,2022-01-02,5,South,7,9782,2795,Online,6987
147,2023-10-04,2,East,4,3406,5874,Online,-2468
148,2022-08-08,33,North,7,2246,6708,Offline,-4462
149,2024-05-04,16,North,2,4809,5405,Online,-596
150,2023-01-20,23,South,1,948,431,Online,517
151,2024-12-12,38,West,2,3512,2157,Offline,1355
152,2023-12-31,16,North,4,2068,6563,Offline,-4495
153,2022-09-04,14,East,8,3991,6311,Offline,-2320
154,2024-04-15,29,West,3,7810,1542,Online,6268
155,2022-07-22,26,West,6,7383,3788,Online,3595
156,2022-05-03,35,West,6,6484,971,Offline,5513
157,2023-02-05,15,West,9,9739,804,Online,8935
158,2024-02-06,3,North,9,7588,7767,Online,-179
159,2022-10-21,23,South,4,5268,2456,Online,2812
160,2022-10-07,29,West,9,1564,1561,Online,3
161,2024-06-02,34,East,6,4321,592,Online,3729
162,2022-07-17,33,East,2,9259,6406,Offline,2853
163,2024-09-08,41,South,6,1936,7431,Offline,-5495
164,2024-01-22,41,North,2,6597,3950,Online,2647
165,2022-05-24,23,South,8,2983,5223,Online,-2240
166,2023-09-01,7,West,4,8219,4582,Online,3637
167,2022-07-06,3,North,5,5300,1359,Offline,3941
168,2023-04-09,32,North,8,6882,2603,Offline,4279
169,2023-10-22,31,West,8,5329,5854,Offline,-525
170,2024-02-03,18,East,6,6653,6038,Offline,615
171,2024-08-12,43,West,4,3294,5427,Offline,-2133
172,2023-02-07,7,South,1,8112,3095,Online,5017
173,2022-05-27,41,West,7,1597,1501,Online,96
174,2024-05-13,1,East,8,2138,3613,Online,-1475
175,2023-05-04,14,West,9,9817,2388,Online,7429
176,2024-07-17,32,South,2,8955,3728,Offline,5227
177,2023-07-05,6,South,1,660,7200,Online,-6540
178,2022-12-04,39,East,4,9948,2460,Online,7488
179,2024-05-21,10,South,5,6406,7211,Online,-805
180,2023-10-03,7,South,1,9002,7633,Online,1369
181,2023-04-18,26,West,5,8918,7971,Offline,947
182,2022-05-31,34,North,6,8964,5249,Offline,3715
183,2022-09-20,30,South,3,7581,6521,Online,1060
184,2022-05-24,36,South,7,4912,1018,Online,3894
185,2022-12-12,21,East,6,3657,2146,Online,1511
186,2023-09-16,17,East,4,2838,1177,Online,1661
187,2024-10-13,33,West,3,6088,3567,Offline,2521
188,2024-05-30,10,West,5,2101,4797,Offline,-2696
189,2022-01-02,47,South,3,6388,7276,Online,-888
190,2024-06-15,42,North,9,4218,363,Online,3855
191,2022-09-11,12,North,9,6046,2999,Offline,3047
192,2023-03-29,16,West,6,2425,3233,Offline,-808
193,2024-11-26,41,East,6,9258,5844,Online,3414
194,2024-10-11,32,South,4,3415,7509,Online,-4094
195,2022-01-09,15,South,4,7398,672,Online,6726
196,2024-03-26,27,North,2,8943,4327,Offline,4616
197,2022-07-27,28,West,4,6152,605,Offline,5547
198,2023-02-08,17,North,8,4001,6652,Offline,-2651
199,2022-06-01,46,North,2,7774,2814,Offline,4960
200,2022-02-23,50,West,9,2102,1231,Offline,871
201,2023-09-20,2,East,1,7859,7771,Online,88
202,2023-08-10,36,South,2,1013,2290,Online,-1277
203,2022-04-14,50,East,2,9133,3956,Online,5177
204,2022-09-11,7,West,6,8692,1715,Online,6977
205,2023-05-25,13,West,7,7001,7620,Offline,-619
206,2022-04-09,15,South,3,1402,7090,Online,-5688
207,2022-06-02,25,East,9,6219,661,Offline,5558
208,2024-07-02,23,South,5,9912,5683,Offline,4229
209,2024-05-27,22,North,5,8648,7683,Online,965
210,2022-12-04,26,North,4,2821,3068,Online,-247
211,2024-04-01,33,North,9,1355,1015,Online,340
212,2024-08-14,11,East,8,1517,1945,Online,-428
213,2022-06-10,10,North,4,5779,842,Online,4937
214,2024-03-11,25,South,4,8212,1847,Online,6365
215,2023-02-02,37,East,2,5180,6058,Offline,-878
216,2024-03-26,48,South,9,7572,2541,Offline,5031
217,2023-02-05,43,West,3,7124,951,Offline,6173
218,2023-10-02,38,East,4,695,1350,Online,-655
219,2024-11-22,41,South,7,5194,5465,Offline,-271
220,2023-11-19,45,South,8,5151,5042,Online,109
221,2023-04-05,24,East,8,7491,2152,Online,5339
222,2024-08-12,40,West,4,3197,3301,Offline,-104
223,2023-04-15,46,East,7,1557,5477,Offline,-3920
224,2024-11-11,33,North,1,5707,3384,Online,2323
225,2024-01-20,17,North,6,3292,5344,Online,-2052
226,2022-02-07,24,West,6,920,5356,Offline,-4436
227,2022-08-18,37,South,6,3314,2396,Offline,918
228,2023-07-17,2,South,2,3340,1102,Offline,2238
229,2023-03-14,32,South,8,1531,7561,Offline,-6030
230,2022-01-27,24,East,5,8139,2954,Offline,5185
231,2022-08-14,9,East,5,1991,1980,Offline,11
232,2024-03-08,4,West,2,5475,1907,Online,3568
233,2022-10-11,17,North,4,5447,3822,Offline,1625
234,2024-05-28,17,South,9,1009,5798,Online,-4789
235,2024-08-17,50,North,9,2359,2357,Online,2
236,2023-03-29,48,East,6,5561,3021,Offline,2540
237,2024-10-16,30,East,9,2358,5121,Offline,-2763
238,2024-03-26,40,East,4,9605,2863,Offline,6742
239,2023-10-21,11,North,1,6107,6667,Online,-560
240,2023-07-01,21,West,2,2565,5800,Online,-3235
241,2024-12-08,21,West,1,3466,3912,Offline,-446
242,2022-01-17,18,East,8,7273,7769,Offline,-496
243,2022-06-07,29,South,9,8392,502,Online,7890
244,2023-04-22,24,North,6,4942,1241,Online,3701
245,2024-12-05,10,East,2,9747,888,Offline,8859
246,2023-06-02,45,North,6,9715,870,Offline,8845
247,2022-04-09,17,North,9,3704,3304,Offline,400
248,2024-11-26,18,West,3,1075,495,Online,580
249,2022-10-07,42,East,9,698,1645,Online,-947
250,2023-05-12,48,West,2,7923,717,Offline,7206
251,2022-10-29,20,East,5,1865,1942,Offline,-77
252,2022-06-30,37,North,2,8334,1665,Offline,6669
253,2023-08-30,45,West,7,2498,7856,Online,-5358
254,2023-12-01,18,North,9,5850,308,Online,5542
255,2024-09-19,17,East,7,6944,831,Online,6113
256,2022-07-10,9,South,5,1516,4544,Offline,-3028
257,2022-09-10,14,West,4,4118,6826,Offline,-2708
258,2024-09-07,49,West,4,525,1852,Offline,-1327
259,2024-07-16,29,North,8,4224,1335,Online,2889
260,2022-05-08,31,North,1,3958,4871,Online,-913
261,2022-01-18,4,South,5,7093,1917,Online,5176
262,2023-07-20,18,West,2,9162,7022,Offline,2140
263,2023-07-24,20,East,9,7780,4016,Offline,3764
264,2023-11-17,47,East,7,8569,6375,Online,2194
265,2023-09-18,43,West,8,5246,1376,Offline,3870
266,2024-05-03,44,West,6,8089,7903,Offline,186
267,2024-08-19,9,West,9,9577,4601,Online,4976
268,2022-06-04,13,South,6,7478,4315,Online,3163
269,2023-05-05,15,East,7,9567,7429,Online,2138
270,2024-02-24,27,East,7,9633,3262,Online,6371
271,2022-09-03,15,North,9,3541,5140,Online,-1599
272,2024-11-28,28,North,8,8265,1212,Offline,7053
273,2024-01-29,37,West,1,5904,4449,Online,1455
274,2023-06-22,19,North,4,1071,4370,Offline,-3299
275,2024-07-09,26,South,7,9296,7445,Offline,1851
276,2023-02-12,26,East,8,5480,5999,Online,-519
277,2023-06-09,25,East,7,9073,3861,Online,5212
278,2024-04-07,26,North,3,1736,6222,Offline,-4486
279,2024-06-21,26,West,4,2880,643,Offline,2237
280,2022-02-05,46,North,7,7677,1492,Offline,6185
281,2023-11-16,28,West,8,2017,2232,Online,-215
282,2022-01-20,49,South,7,2033,5580,Offline,-3547
283,2022-11-17,18,East,6,6387,7994,Online,-1607
284,2023-05-27,32,South,9,8359,1002,Online,7357
285,2023-02-04,3,East,9,3989,6970,Offline,-2981
286,2023-10-16,2,South,7,5142,5706,Online,-564
287,2024-08-29,33,North,8,9562,2198,Offline,7364
288,2023-04-16,42,South,6,2650,6855,Offline,-4205
289,2024-04-13,19,South,1,5819,3893,Online,1926
290,2023-12-28,17,North,1,4266,7012,Online,-2746
291,2024-05-03,44,East,6,5460,498,Offline,4962
292,2022-02-20,33,East,2,6561,3532,Online,3029
293,2023-07-29,12,North,8,6357,3122,Online,3235
294,2022-05-30,49,South,1,4987,4784,Offline,203
295,2022-11-10,3,South,2,8250,773,Online,7477
296,2023-07-24,43,South,8,1577,5800,Offline,-4223
297,2022-11-01,49,West,6,1800,5160,Offline,-3360
298,2023-11-13,26,East,2,7149,1954,Online,5195
299,2024-04-17,35,South,2,7681,891,Offline,6790
300,2024-12-13,8,East,7,8638,7591,Online,1047
301,2024-09-29,36,South,5,3029,2148,Offline,881
302,2023-03-20,7,North,5,3760,5491,Online,-1731
303,2023-09-05,46,North,8,863,5377,Offline,-4514
304,2024-09-19,46,East,7,1345,3341,Offline,-1996
305,2022-09-21,36,East,9,3532,467,Online,3065
306,2024-12-12,16,North,4,1827,4679,Online,-2852
307,2024-09-30,24,West,4,9083,7961,Online,1122
308,2022-01-05,1,North,2,3755,7503,Online,-3748
309,2024-02-13,49,South,3,5636,7267,Online,-1631
310,2024-05-26,25,West,1,7608,5594,Online,2014
311,2024-09-18,10,North,1,3737,3570,Online,167
312,2024-06-02,16,West,7,9997,7583,Online,2414
313,2022-02-16,16,West,5,6168,4307,Online,1861
314,2024-05-16,8,West,3,6812,7782,Offline,-970
315,2024-04-02,29,East,7,9456,4310,Online,5146
316,2024-07-24,39,North,2,5965,5639,Offline,326
317,2023-10-18,28,East,3,998,5286,Online,-4288
318,2022-09-26,6,East,1,6562,4148,Online,2414
319,2023-01-05,16,South,8,3444,2481,Offline,963
320,2023-09-28,20,South,2,8452,1954,Offline,6498
321,2023-10-19,16,West,7,6356,4517,Online,1839
322,2022-04-30,7,West,9,8338,1132,Offline,7206
323,2024-04-10,41,South,6,6577,6318,Online,259
324,2024-12-17,14,South,2,635,1321,Offline,-686
325,2024-01-11,43,North,2,9792,2293,Online,7499
326,2022-04-27,26,West,9,4533,3792,Offline,741
327,2024-03-01,26,West,8,7200,1194,Online,6006
328,2024-10-09,14,South,9,4613,1815,Offline,2798
329,2024-12-17,7,North,4,7046,3970,Online,3076
330,2023-09-26,33,South,4,8896,588,Offline,8308
331,2023-05-28,26,South,2,5094,1376,Online,3718
332,2024-03-12,45,East,1,1061,7672,Online,-6611
333,2023-07-14,20,West,4,5900,1671,Online,4229
334,2023-05-03,3,North,8,7833,1374,Offline,6459
335,2024-06-15,4,East,2,3814,5234,Offline,-1420
336,2023-12-05,26,West,8,4460,3259,Offline,1201
337,2023-08-04,11,South,1,2711,339,Offline,2372
338,2024-02-29,2,North,1,2871,6693,Offline,-3822
339,2024-05-10,14,West,4,7474,6661,Online,813
340,2022-09-04,44,South,7,3181,4574,Offline,-1393
341,2022-06-03,30,East,9,3306,3922,Online,-616
342,2024-09-23,49,North,5,2755,482,Online,2273
343,2023-11-28,12,West,2,9592,2059,Online,7533
344,2024-12-28,26,East,7,6882,5583,Online,1299
345,2024-12-06,44,South,2,5399,2069,Online,3330
346,2024-10-05,33,South,9,3659,5796,Offline,-2137
347,2022-04-04,13,West,9,6156,5100,Online,1056
348,2024-08-15,14,South,3,1952,796,Offline,1156
349,2024-10-08,24,North,8,9935,896,Online,9039
350,2023-03-29,34,West,4,2822,2808,Online,14
351,2024-06-30,44,East,3,7597,4126,Offline,3471
352,2022-08-06,26,West,1,2268,4869,Offline,-2601
353,2023-04-19,21,West,5,6596,984,Online,5612
354,2023-03-08,28,East,4,5685,5456,Online,229
355,2022-12-07,48,South,1,1669,6018,Online,-4349
356,2023-07-05,36,East,8,5210,6060,Offline,-850
357,2022-12-23,40,North,8,7090,618,Offline,6472
358,2022-01-23,2,South,8,886,3926,Online,-3040
359,2023-06-06,42,West,3,2930,1735,Offline,1195
360,2024-03-12,9,South,6,1905,2703,Offline,-798
361,2024-02-01,23,South,7,623,6090,Offline,-5467
362,2023-03-18,15,North,9,4497,2964,Offline,1533
363,2024-02-08,13,South,5,6409,6384,Offline,25
364,2024-10-12,23,South,9,4396,4624,Offline,-228
365,2023-05-31,17,South,6,8566,1028,Offline,7538
366,2024-11-05,48,West,4,9873,1587,Online,8286
367,2024-03-02,2,South,1,1227,4301,Offline,-3074
368,2022-12-02,20,East,1,7539,5906,Offline,1633
369,2022-09-15,20,South,5,8215,860,Online,7355
370,2023-05-12,46,North,3,4170,1675,Offline,2495
371,2024-06-14,3,South,5,1641,1765,Offline,-124
372,2022-06-09,12,South,5,4531,7078,Offline,-2547
373,2024-05-01,40,West,1,9050,2806,Offline,6244
374,2023-11-21,2,East,8,4242,4186,Online,56
375,2023-01-15,36,South,5,3344,324,Offline,3020
376,2024-08-14,14,East,5,2711,1454,Online,1257
377,2023-11-22,16,North,9,1472,4765,Offline,-3293
378,2024-12-02,19,West,8,860,1759,Offline,-899
379,2022-10-12,34,East,1,3132,7691,Offline,-4559
380,2023-02-01,44,West,3,3690,5407,Offline,-1717
381,2022-01-12,46,South,7,5448,5006,Online,442
382,2023-05-14,6,North,1,2124,5771,Online,-3647
383,2024-01-24,13,West,1,2256,6221,Online,-3965
384,2022-02-04,36,South,5,8318,7952,Online,366
385,2023-12-28,22,East,9,5619,6431,Online,-812
386,2024-04-28,18,North,6,6526,1520,Offline,5006
387,2022-03-31,12,North,2,8932,2456,Online,6476
388,2024-02-15,30,East,9,7475,6279,Online,1196
389,2023-08-28,40,East,6,1475,3591,Offline,-2116
390,2024-08-27,7,North,5,4818,6342,Online,-1524
391,2024-10-18,32,West,5,6423,1019,Offline,5404
392,2023-02-22,48,North,3,2813,7786,Online,-4973
393,2022-04-25,19,East,6,9997,1405,Offline,8592
394,2023-09-09,6,West,4,1287,5956,Online,-4669
395,2024-04-05,20,South,2,2928,4069,Offline,-1141
396,2023-02-17,27,North,3,9247,2779,Online,6468
397,2023-12-30,43,East,9,7164,2220,Online,4944
398,2024-10-17,37,South,9,7983,3379,Offline,4604
399,2024-01-31,48,North,6,1863,5031,Offline,-3168
400,2023-11-07,7,North,9,4459,5568,Offline,-1109
401,2023-04-02,5,West,4,9281,3469,Online,5812
402,2024-07-08,11,East,5,2249,3472,Offline,-1223
403,2022-07-11,15,South,6,7171,6149,Online,1022
404,2024-01-09,3,North,9,1040,6810,Offline,-5770
405,2024-09-04,5,West,5,8134,7929,Online,205
406,2024-10-05,23,South,8,8982,7368,Offline,1614
407,2022-04-06,37,South,1,4435,6857,Offline,-2422
408,2023-10-25,9,North,5,4458,3630,Online,828
409,2022-02-06,15,South,1,4359,6322,Offline,-1963
410,2022-10-06,3,North,6,8550,4751,Offline,3799
411,2022-08-05,29,West,7,9947,2358,Offline,7589
412,2024-05-16,6,West,5,5831,5835,Online,-4
413,2024-05-22,17,South,1,8699,5990,Online,2709
414,2022-03-03,26,North,6,2157,3621,Offline,-1464
415,2023-08-19,21,East,5,6685,6071,Offline,614
416,2023-12-30,8,West,6,4928,2170,Online,2758
417,2023-02-01,21,North,7,9948,3921,Online,6027
418,2023-11-30,11,North,7,7737,1445,Offline,6292
419,2024-11-08,38,North,2,1539,4291,Online,-2752
420,2022-06-26,8,South,3,2616,6508,Offline,-3892
421,2023-01-31,42,East,6,9376,3673,Offline,5703
422,2023-03-21,24,South,3,4518,424,Online,4094
423,2022-03-17,35,West,2,8046,611,Online,7435
424,2022-09-22,14,South,4,2324,7658,Online,-5334
425,2023-03-31,14,North,5,4034,1074,Online,2960
426,2023-12-19,10,South,9,7170,7445,Online,-275
427,2024-01-05,12,North,3,8754,3220,Online,5534
428,2024-04-30,38,East,3,8952,5869,Online,3083
429,2022-05-24,44,South,6,4071,2131,Online,1940
430,2024-06-03,46,South,5,3692,993,Offline,2699
431,2024-12-28,34,South,6,5453,5578,Offline,-125
432,2023-01-31,41,North,7,9822,1676,Online,8146
433,2024-11-14,10,North,3,4775,6239,Offline,-1464
434,2024-08-05,17,South,5,854,1289,Offline,-435
435,2024-06-09,17,South,8,5529,3146,Offline,2383
436,2023-07-23,3,East,4,3274,7117,Offline,-3843
437,2024-11-28,31,East,2,1088,7730,Offline,-6642
438,2022-04-19,1,West,4,1104,2052,Online,-948
439,2024-12-01,12,East,2,8865,3259,Online,5606
440,2024-07-23,39,East,3,853,2753,Online,-1900
441,2023-02-02,4,East,4,5934,3343,Online,2591
442,2023-09-26,42,North,4,933,2016,Online,-1083
443,2024-01-03,13,East,9,8950,1926,Online,7024
444,2022-08-23,34,East,6,1367,3388,Offline,-2021
445,2023-10-20,42,South,9,9287,7080,Online,2207
446,2024-01-21,21,North,4,6264,3631,Offline,2633
447,2023-08-11,22,West,9,893,4328,Online,-3435
448,2024-10-29,4,West,9,4254,1189,Offline,3065
449,2024-08-11,18,East,6,4870,1678,Offline,3192
450,2023-05-07,5,West,5,5021,4884,Online,137
451,2024-07-01,19,West,3,8199,7681,Online,518
452,2022-06-19,2,West,5,5078,6682,Online,-1604
453,2024-08-03,12,East,3,8905,4575,Online,4330
454,2024-03-05,17,West,5,2626,5838,Offline,-3212
455,2023-09-26,10,East,5,8830,2007,Online,6823
456,2022-01-29,34,South,2,4693,7610,Online,-2917
457,2022-12-05,6,South,9,4460,2664,Offline,1796
458,2023-05-15,8,West,7,1163,5663,Offline,-4500
459,2023-05-26,11,South,6,3332,531,Online,2801
460,2022-08-05,12,East,5,9765,2112,Online,7653
461,2024-12-29,9,South,4,5074,1912,Offline,3162
462,2023-03-21,2,West,8,6871,5722,Online,1149
463,2024-05-25,8,East,2,8124,4726,Offline,3398
464,2022-06-16,11,North,8,6792,4956,Offline,1836
465,2022-04-01,36,East,1,5677,3296,Online,2381
466,2023-12-15,10,South,1,8853,547,Offline,8306
467,2022-02-08,21,North,3,7506,4678,Online,2828
468,2022-06-22,20,East,5,3678,5706,Online,-2028
469,2023-10-15,48,North,6,6046,5335,Online,711
470,2024-01-24,8,North,4,4990,2379,Offline,2611
471,2024-12-17,36,North,7,5396,5919,Online,-523
472,2023-04-21,29,East,7,685,4041,Online,-3356
473,2023-04-01,42,South,2,5153,4925,Offline,228
474,2024-04-08,12,East,2,2480,4776,Online,-2296
475,2024-06-13,14,South,2,5041,362,Online,4679
476,2024-10-21,48,East,2,8308,4523,Online,3785
477,2023-01-22,50,East,9,1329,1851,Offline,-522
478,2022-12-14,21,East,5,4019,6606,Offline,-2587
479,2022-07-09,22,South,8,8508,3305,Online,5203
480,2023-05-20,21,East,5,6409,3622,Online,2787
481,2024-04-03,44,North,5,1725,594,Online,1131
482,2024-07-17,50,East,1,6274,4574,Offline,1700
483,2024-07-22,30,North,6,3344,4624,Online,-1280
484,2022-05-14,39,West,4,7847,1182,Online,6665
485,2022-02-27,20,West,3,3233,693,Online,2540
486,2023-11-16,24,South,6,4920,3039,Offline,1881
487,2023-11-03,23,South,2,4496,3767,Offline,729
488,2022-06-22,7,West,8,2188,4467,Offline,-2279
489,2024-03-25,9,East,1,2947,4713,Offline,-1766
490,2022-03-21,1,East,9,1367,4270,Offline,-2903
491,2024-06-04,26,East,8,7452,4990,Online,2462
492,2022-07-22,38,West,1,6584,4774,Online,1810
493,2024-02-03,38,North,9,8931,5302,Online,3629
494,2022-02-16,44,South,2,5805,4531,Online,1274
495,2023-10-18,22,North,3,8739,3077,Offline,5662
496,2023-04-16,44,West,2,4549,3992,Offline,557
497,2024-08-28,10,North,8,3957,1701,Online,2256
498,2024-11-01,6,East,2,3728,5538,Offline,-1810
499,2024-01-06,17,East,2,1748,1205,Online,543
500,2024-02-23,50,North,1,1667,829,Offline,838
501,2024-08-25,38,West,7,3990,7378,Online,-3388
502,2022-12-24,24,North,2,2397,7109,Online,-4712
503,2024-08-29,10,East,5,2679,4918,Online,-2239
504,2023-10-30,8,East,5,6455,4021,Offline,2434
505,2023-01-08,21,West,3,3220,686,Online,2534
506,2024-10-28,6,North,3,2443,2921,Online,-478
